Type,TP_value_2017,TP_value_2021
aquaculture,115.5,72
healthcare,3.6,3
sewerage,4.9,5
natural_soil,136.6,137
anthropic_soil,34,34
domestic_ww_concession,2.6,3
domestic_ww_lakeside,1.2,1
domestic_ww_non_concession,4.4,13
